DATE,DETAILS,AMOUNT,CATEGORY-1,CATEGORY-2,MODE,MODE2
29/Aug,Puri Sabzi,30,FOOD,NEED,UPI,REGULAR
29/Aug,Water Bottle,10,FOOD,NEED,UPI,REGULAR
29/Aug,Tea,20,FOOD,NEED,UPI,REGULAR
29/Aug,Lunch (Maggie),64,FOOD,NEED,UPI,REGULAR
29/Aug,Dinner (Tiffin),110,FOOD,NEED,UPI,REGULAR
30/Aug,Recharge,239,UTILITY,NEED,UPI,REGULAR
30/Aug,Breakfast & Tea,73,FOOD,NEED,UPI,REGULAR
30/Aug,Lunch,74,FOOD,NEED,UPI,REGULAR
30/Aug,Panipuri,30,FOOD,WANT,UPI,REGULAR
30/Aug,Banana Shake,60,FOOD,NEED,UPI,REGULAR
30/Aug,Snacks,568,FOOD,NEED,UPI,REGULAR
31/Aug,ITR - Late Fees,1000,F. FREEDOM,NEED,UPI,NON-REGULAR
31/Aug,Puri Sabzi,30,FOOD,NEED,UPI,REGULAR
31/Aug,Tea,20,FOOD,NEED,UPI,REGULAR
31/Aug,Lunch,77,FOOD,NEED,UPI,REGULAR
31/Aug,Panipuri,40,FOOD,WANT,UPI,REGULAR
31/Aug,Garlic Aaloo Paratha x 2,160,FOOD,NEED,UPI,REGULAR
31/Aug,Jeera Soda,10,FOOD,WANT,UPI,REGULAR
31/Aug,Train Ticket - New Delhi to Ahmedabad (Diwali),2364,TRANSPORT,WANT,UPI,NON-REGULAR
31/Aug,Train Ticket - Ahmedabad to New Delhi (Diwali),2209,TRANSPORT,WANT,UPI,NON-REGULAR
01/Sep,Chole Bhature,30,FOOD,NEED,UPI,REGULAR
01/Sep,Tea,20,FOOD,NEED,UPI,REGULAR
01/Sep,Paneer Veg Biriyani + Jalebi,145,FOOD,WANT,UPI,REGULAR
01/Sep,Spectacles - Replacement Charges (with Insurance),102,SELFCARE,NEED,UPI,NON-REGULAR
01/Sep,Panipuri,20,FOOD,WANT,UPI,REGULAR
01/Sep,Piped Gas Bill - Home,1240,UTILITY,NEED,UPI,REGULAR
01/Sep,Electricity Bill - Shop,448,UTILITY,NEED,UPI,REGULAR
01/Sep,Return Money to Mansi,7000,FOOD,NEED,UPI,REGULAR
01/Sep,Garlic Masala Dosa ,180,FOOD,NEED,UPI,REGULAR
02/Sep,Chole Bhature,40,FOOD,NEED,UPI,REGULAR
02/Sep,Mosambi Juice,40,FOOD,NEED,UPI,REGULAR
02/Sep,Ola Ride - Logix to Addverb,98,TRANSPORT,WANT,UPI,NON-REGULAR
02/Sep,Dal Rice,100,FOOD,NEED,UPI,REGULAR
02/Sep,Papa's Vodafone Recharge,157,UTILITY,NEED,UPI,REGULAR
02/Sep,Cable Recharge,330,UTILITY,NEED,UPI,REGULAR
03/Sep,Puri Sabzi,30,FOOD,NEED,UPI,REGULAR
03/Sep,Dates Shake,40,FOOD,WANT,UPI,REGULAR
03/Sep,Samosa & Jalebi,25,FOOD,NEED,UPI,REGULAR
03/Sep,Plastic Bowl x 2,80,SELFCARE,WANT,UPI,NON-REGULAR
03/Sep,Banana x 6,35,FOOD,WANT,UPI,REGULAR
03/Sep,Money sent to Home,20000,FAMILY,NEED,UPI,REGULAR
03/Sep,Chowmin,40,FOOD,NEED,UPI,REGULAR
03/Sep,Fanta ,20,FOOD,NEED,UPI,REGULAR
03/Sep,K Medicine,974,MEDICAL,NEED,UPI,REGULAR
04/Sep,Puri Sabzi,30,FOOD,NEED,UPI,REGULAR
04/Sep,Tea,20,FOOD,NEED,UPI,REGULAR
04/Sep,Lunch,74,FOOD,NEED,UPI,REGULAR
04/Sep,Dinner (Khichadi),100,FOOD,NEED,UPI,REGULAR
05/Sep,Udemy Course - Python for Data Science & Machine Learning,549,SELF-IMPROVEMENT,NEED,UPI,NON-REGULAR
05/Sep,Puri Sabzi,30,FOOD,NEED,UPI,REGULAR
05/Sep,Tea,20,FOOD,NEED,UPI,REGULAR
05/Sep,Lunch,74,FOOD,NEED,UPI,REGULAR
05/Sep,Recharge,209,UTILITY,NEED,UPI,REGULAR
05/Sep,Lavish Dinner,129,FOOD,WANT,UPI,REGULAR
05/Sep,Rent,10000,RENT,NEED,UPI,REGULAR
05/Sep,AC Electricity Bill (Total 2808 - 936 Paid by Rupesh),1872,UTILITY,NEED,UPI,REGULAR
06/Sep,Puri Sabzi,30,FOOD,NEED,UPI,REGULAR
06/Sep,Tea,20,FOOD,NEED,UPI,REGULAR
06/Sep,Lunch (Regular Thali),74,FOOD,NEED,UPI,REGULAR
06/Sep,Dinner (2x Aaloo Paratha & Dahi),90,FOOD,NEED,UPI,REGULAR
07/Sep,Puri Sabzi,30,FOOD,NEED,UPI,REGULAR
07/Sep,Tea,10,FOOD,NEED,CASH,REGULAR
07/Sep,Lunch (Pizza & Burger),120,FOOD,WANT,UPI,REGULAR
07/Sep,Jeera Soda,10,FOOD,WANT,UPI,REGULAR
07/Sep,Panipuri,40,FOOD,WANT,UPI,REGULAR
07/Sep,Dinner (Chole Bhature),120,FOOD,NEED,UPI,REGULAR
07/Sep,Dhara's Recharge,299,UTILITY,NEED,UPI,REGULAR
08/Sep,Puri Sabzi,30,FOOD,NEED,UPI,REGULAR
08/Sep,Lunch (Regular Thali),74,FOOD,NEED,UPI,REGULAR
08/Sep,Tea,20,FOOD,NEED,UPI,REGULAR
08/Sep,Dinner (Veg Khichadi),120,FOOD,NEED,UPI,REGULAR
09/Sep,Metro - 137 to 50 (missed expiry time),20,TRANSPORT,NEED,UPI,NON-REGULAR
09/Sep,Metro - 137 to 50 ,20,TRANSPORT,NEED,UPI,NON-REGULAR
09/Sep,Samosa & Kachodi,15,FOOD,NEED,UPI,REGULAR
09/Sep,Metro - 50 to 137,20,TRANSPORT,NEED,UPI,NON-REGULAR
09/Sep,Lunch (Paneer Paratha & Paneer Patties @Hira),134,FOOD,NEED,UPI,REGULAR
09/Sep,Dinner ,40,FOOD,NEED,UPI,REGULAR
10/Sep,USB to Type C cable @Amazon,149,SELFCARE,NEED,UPI,REGULAR
10/Sep,"2 in 1, USB to Micro USB & Type C cable @Amazon",199,SELFCARE,NEED,UPI,NON-REGULAR
10/Sep,Boat Wired Earphone @Amazon,329,SELFCARE,NEED,UPI,NON-REGULAR
10/Sep,Puri Sabzi,40,FOOD,NEED,UPI,REGULAR
10/Sep,Lunch (2x Pizza),150,FOOD,WANT,UPI,REGULAR
10/Sep,Pineapple Juice,60,FOOD,NEED,UPI,REGULAR
10/Sep,Medicine for cold,20,MEDICAL,NEED,UPI,REGULAR
10/Sep,Panipuri,20,FOOD,NEED,UPI,REGULAR
10/Sep,Jeera Soda,10,FOOD,WANT,UPI,REGULAR
11/Sep,Snacks @Needs24 Supermarket,100,FOOD,WANT,UPI,REGULAR
11/Sep,Tea,20,FOOD,NEED,UPI,REGULAR
11/Sep,Lunch,74,FOOD,NEED,UPI,REGULAR
11/Sep,Sabzi (Aaloo Matar),30,FOOD,NEED,UPI,REGULAR
11/Sep,Paratha x 4,60,FOOD,NEED,UPI,REGULAR
12/Sep,Puri Sabzi,30,FOOD,NEED,UPI,REGULAR
12/Sep,Tea,20,FOOD,NEED,UPI,REGULAR
12/Sep,Lunch,50,FOOD,NEED,UPI,REGULAR
12/Sep,Tea + 2x Samosa,42,FOOD,WANT,UPI,REGULAR
12/Sep,Dinner (Dal Rice),100,FOOD,NEED,UPI,REGULAR
12/Sep,My Recharge,209,UTILITY,NEED,UPI,REGULAR
13/Sep,Puri Sabzi,30,FOOD,NEED,UPI,REGULAR
13/Sep,Tea,20,FOOD,NEED,UPI,REGULAR
13/Sep,Lunch (Cheeze Corn Sandwich & Banana Shake),88,FOOD,NEED,UPI,REGULAR
13/Sep,Tea & Biscuit,20,FOOD,NEED,UPI,REGULAR
13/Sep,Panipuri,20,FOOD,NEED,UPI,REGULAR
13/Sep,Samosa & Jalebi,25,FOOD,NEED,UPI,REGULAR
14/Sep,Puri Sabzi,30,FOOD,NEED,UPI,REGULAR
14/Sep,Tea,20,FOOD,NEED,UPI,REGULAR
14/Sep,Lunch,74,FOOD,NEED,UPI,REGULAR
14/Sep,Mazaa,20,FOOD,WANT,UPI,REGULAR
14/Sep,Snacks,36,FOOD,WANT,UPI,NON-REGULAR
14/Sep,Cab Ride - Botverse to Home,619,TRANSPORT,NEED,UPI,NON-REGULAR
14/Sep,Panipuri,60,FOOD,NEED,UPI,REGULAR
